1         	1         	P         	3.27      	3.29518577859159    	3.34      	V         	DPS_FVMV_1A_DPS1
1         	2         	P         	3.27      	3.30281528953994    	3.34      	V         	DPS_FVMV_1A_DPS2
1         	3         	P         	3.27      	3.29518577859159    	3.34      	V         	DPS_FVMV_1A_DPS3
1         	4         	P         	3.27      	3.30052643625544    	3.34      	V         	DPS_FVMV_1A_DPS4
1         	5         	P         	3.27      	3.29785610742351    	3.34      	V         	DPS_FVMV_1A_DPS5
1         	6         	P         	3.27      	3.30014496070802    	3.34      	V         	DPS_FVMV_1A_DPS6
1         	7         	P         	3.27      	3.29633020523384    	3.34      	V         	DPS_FVMV_1A_DPS7
1         	8         	P         	3.27      	3.30205233844511    	3.34      	V         	DPS_FVMV_1A_DPS8
2         	2         	P         	3.27      	3.29861905851835    	3.34      	V         	DPS_FVMV_1A_DPS2
2         	1         	P         	3.27      	3.29823758297093    	3.34      	V         	DPS_FVMV_1A_DPS1
2         	8         	P         	3.27      	3.29671168078126    	3.34      	V         	DPS_FVMV_1A_DPS8
2         	7         	P         	3.27      	3.2997634851606     	3.34      	V         	DPS_FVMV_1A_DPS7
2         	6         	P         	3.27      	3.29823758297093    	3.34      	V         	DPS_FVMV_1A_DPS6
2         	5         	P         	3.27      	3.2997634851606     	3.34      	V         	DPS_FVMV_1A_DPS5
2         	4         	P         	3.27      	3.29556725413901    	3.34      	V         	DPS_FVMV_1A_DPS4
2         	3         	P         	3.27      	3.30014496070802    	3.34      	V         	DPS_FVMV_1A_DPS3
3         	6         	P         	3.27      	3.29709315632868    	3.34      	V         	DPS_FVMV_1A_DPS6
3         	7         	P         	3.27      	3.30128938735027    	3.34      	V         	DPS_FVMV_1A_DPS7
3         	8         	P         	3.27      	3.29785610742351    	3.34      	V         	DPS_FVMV_1A_DPS8
3         	5         	P         	3.27      	3.29861905851835    	3.34      	V         	DPS_FVMV_1A_DPS5
3         	4         	P         	3.27      	3.2974746318761     	3.34      	V         	DPS_FVMV_1A_DPS4
3         	3         	P         	3.27      	3.29900053406577    	3.34      	V         	DPS_FVMV_1A_DPS3
3         	2         	P         	3.27      	3.29900053406577    	3.34      	V         	DPS_FVMV_1A_DPS2
3         	1         	P         	3.27      	3.29861905851835    	3.34      	V         	DPS_FVMV_1A_DPS1
4         	8         	P         	3.27      	3.29633020523384    	3.34      	V         	DPS_FVMV_1A_DPS8
4         	7         	P         	3.27      	3.30167086289769    	3.34      	V         	DPS_FVMV_1A_DPS7
4         	6         	P         	3.27      	3.29594872968643    	3.34      	V         	DPS_FVMV_1A_DPS6
4         	5         	P         	3.27      	3.29900053406577    	3.34      	V         	DPS_FVMV_1A_DPS5
4         	4         	P         	3.27      	3.29900053406577    	3.34      	V         	DPS_FVMV_1A_DPS4
4         	3         	P         	3.27      	3.2997634851606     	3.34      	V         	DPS_FVMV_1A_DPS3
4         	2         	P         	3.27      	3.29785610742351    	3.34      	V         	DPS_FVMV_1A_DPS2
4         	1         	P         	3.27      	3.29785610742351    	3.34      	V         	DPS_FVMV_1A_DPS1

1         	10007     	P         	5.98      	5.99221789883268    	6.02      	          	DPS_FVMV_1A_DPS1
1         	10008     	P         	5.98      	6.0013733119707     	6.02      	          	DPS_FVMV_1A_DPS2
1         	10009     	P         	5.98      	5.98992904554818    	6.02      	          	DPS_FVMV_1A_DPS3
1         	10010     	P         	5.98      	5.99832150759136    	6.02      	          	DPS_FVMV_1A_DPS4
1         	10011     	P         	5.98      	5.99603265430686    	6.02      	          	DPS_FVMV_1A_DPS5
1         	10012     	P         	5.98      	5.99794003204395    	6.02      	          	DPS_FVMV_1A_DPS6
1         	10013     	P         	5.98      	5.98954757000076    	6.02      	          	DPS_FVMV_1A_DPS7
1         	10014     	P         	5.98      	6.00175478751812    	6.02      	          	DPS_FVMV_1A_DPS8
2         	10008     	P         	5.98      	5.99565117875944    	6.02      	          	DPS_FVMV_1A_DPS2
2         	10007     	P         	5.98      	5.99641412985428    	6.02      	          	DPS_FVMV_1A_DPS1
2         	10014     	P         	5.98      	5.99298084992752    	6.02      	          	DPS_FVMV_1A_DPS8
2         	10013     	P         	5.98      	5.99717708094911    	6.02      	          	DPS_FVMV_1A_DPS7
2         	10012     	P         	5.98      	5.99603265430686    	6.02      	          	DPS_FVMV_1A_DPS6
2         	10011     	P         	5.98      	5.99870298313878    	6.02      	          	DPS_FVMV_1A_DPS5
2         	10010     	P         	5.98      	5.99145494773785    	6.02      	          	DPS_FVMV_1A_DPS4
2         	10009     	P         	5.98      	5.99946593423362    	6.02      	          	DPS_FVMV_1A_DPS3
3         	10012     	P         	5.98      	5.99145494773785    	6.02      	          	DPS_FVMV_1A_DPS6
3         	10013     	P         	5.98      	6.00213626306554    	6.02      	          	DPS_FVMV_1A_DPS7
3         	10014     	P         	5.98      	5.99450675211719    	6.02      	          	DPS_FVMV_1A_DPS8
3         	10011     	P         	5.98      	5.99679560540169    	6.02      	          	DPS_FVMV_1A_DPS5
3         	10010     	P         	5.98      	5.99183642328527    	6.02      	          	DPS_FVMV_1A_DPS4
3         	10009     	P         	5.98      	5.99641412985428    	6.02      	          	DPS_FVMV_1A_DPS3
3         	10008     	P         	5.98      	5.99717708094911    	6.02      	          	DPS_FVMV_1A_DPS2
3         	10007     	P         	5.98      	5.99717708094911    	6.02      	          	DPS_FVMV_1A_DPS1
4         	10014     	P         	5.98      	5.99298084992752    	6.02      	          	DPS_FVMV_1A_DPS8
4         	10013     	P         	5.98      	6.00251773861295    	6.02      	          	DPS_FVMV_1A_DPS7
4         	10012     	P         	5.98      	5.99412527656977    	6.02      	          	DPS_FVMV_1A_DPS6
4         	10011     	P         	5.98      	5.99794003204395    	6.02      	          	DPS_FVMV_1A_DPS5
4         	10010     	P         	5.98      	5.9990844586862     	6.02      	          	DPS_FVMV_1A_DPS4
4         	10009     	P         	5.98      	5.9990844586862     	6.02      	          	DPS_FVMV_1A_DPS3
4         	10008     	P         	5.98      	5.99641412985428    	6.02      	          	DPS_FVMV_1A_DPS2
4         	10007     	P         	5.98      	5.99603265430686    	6.02      	          	DPS_FVMV_1A_DPS1

1         	9         	P         	3.27      	3.29709315632868    	3.34      	V         	DPS_FVMV_60mA_DPS1
1         	10        	P         	3.27      	3.30090791180285    	3.34      	V         	DPS_FVMV_60mA_DPS2
1         	11        	P         	3.27      	3.29327840085451    	3.34      	V         	DPS_FVMV_60mA_DPS3
1         	12        	P         	3.27      	3.29709315632868    	3.34      	V         	DPS_FVMV_60mA_DPS4
1         	13        	P         	3.27      	3.29823758297093    	3.34      	V         	DPS_FVMV_60mA_DPS5
1         	14        	P         	3.27      	3.29785610742351    	3.34      	V         	DPS_FVMV_60mA_DPS6
1         	15        	P         	3.27      	3.29594872968643    	3.34      	V         	DPS_FVMV_60mA_DPS7
1         	16        	P         	3.27      	3.30167086289769    	3.34      	V         	DPS_FVMV_60mA_DPS8
2         	10        	P         	3.27      	3.29633020523384    	3.34      	V         	DPS_FVMV_60mA_DPS2
2         	9         	P         	3.27      	3.29709315632868    	3.34      	V         	DPS_FVMV_60mA_DPS1
2         	16        	P         	3.27      	3.29518577859159    	3.34      	V         	DPS_FVMV_60mA_DPS8
2         	15        	P         	3.27      	3.29709315632868    	3.34      	V         	DPS_FVMV_60mA_DPS7
2         	14        	P         	3.27      	3.29823758297093    	3.34      	V         	DPS_FVMV_60mA_DPS6
2         	13        	P         	3.27      	3.29861905851835    	3.34      	V         	DPS_FVMV_60mA_DPS5
2         	12        	P         	3.27      	3.29442282749676    	3.34      	V         	DPS_FVMV_60mA_DPS4
2         	11        	P         	3.27      	3.2997634851606     	3.34      	V         	DPS_FVMV_60mA_DPS3
3         	14        	P         	3.27      	3.29442282749676    	3.34      	V         	DPS_FVMV_60mA_DPS6
3         	15        	P         	3.27      	3.30167086289769    	3.34      	V         	DPS_FVMV_60mA_DPS7
3         	16        	P         	3.27      	3.29518577859159    	3.34      	V         	DPS_FVMV_60mA_DPS8
3         	13        	P         	3.27      	3.29823758297093    	3.34      	V         	DPS_FVMV_60mA_DPS5
3         	12        	P         	3.27      	3.29365987640192    	3.34      	V         	DPS_FVMV_60mA_DPS4
3         	11        	P         	3.27      	3.29785610742351    	3.34      	V         	DPS_FVMV_60mA_DPS3
3         	10        	P         	3.27      	3.2974746318761     	3.34      	V         	DPS_FVMV_60mA_DPS2
3         	9         	P         	3.27      	3.2974746318761     	3.34      	V         	DPS_FVMV_60mA_DPS1
